id,text,target
20001,"Witnessing the devastation caused by the powerful hurricane in the Caribbean region. Praying for the safety and well-being of all those affected. #hurricane #Caribbean",1
20004,"Devastated by the forest fire near La Ronge, Sask. My heart goes out to all affected by this tragic disaster. #LaRonge #ForestFire",1
20005,"Breaking news: Authorities urging locals to 'shelter in place' as wildfires continue to ravage parts of California. Stay safe and be prepared. #CaliforniaWildfires",1
20006,"Massive flooding forces 10,000 residents to evacuate in Louisiana. Rescue efforts underway as homes are submerged in water. #LouisianaFloods",1
20007,"Just received this video from Emma in #California as flood waters engulf a neighborhood. Stay safe everyone! #disastercoverage",1
20008,"#HurricaneDorian wreaking havoc in the Bahamas, leaving destruction and displacement in its wake - thoughts and prayers for those affected #Dorian",1
20010,"Torrential rain triggers flash floods in Manila, Philippines, leading to chaos in the city's streets. Stay safe everyone! #flashflood #Manila",1
20013,"I'm on the coast and can see a tsunami approaching fast. Praying for everyone's safety. Stay safe and stay alert. #disastercoverage",1
20014,"Massive wildfires have forced the evacuation of an entire town in California. Thoughts and prayers for all those affected by this devastating disaster.",1
20015,"Battling the raging wildfire in our town feels like a losing battle. Stay safe everyone! #disaster #wildfire",1
20016,"Heartbreaking scenes as floods ravage parts of Indonesia, claiming the lives of five people. Sending thoughts and prayers to all affected. 💔 #IndonesiaFloods",1
20017,"Just witnessed a devastating earthquake in San Francisco. The ground shook violently. Stay safe, everyone. #earthquake #SanFrancisco",1
20018,"Devastating floods continue to wreak havoc in #Miami with no signs of stopping. The city is overwhelmed by the rising waters. #flooding #Florida",1
20019,"#Earthquake in San Francisco California #Onsite SF",1
20020,"Devastating train derailment on tracks near city center. Multiple injuries reported. Stay tuned for updates. #BreakingNews",1
20048,"Huge explosion rocks chemical plant in Houston, sending plumes of toxic smoke into the air. Emergency crews on scene. Stay safe, everyone. #HoustonExplosion",1
20050,"#BREAKING: Devastating flooding in Bangladesh leaves thousands stranded without food or shelter. Aid efforts urgently needed. #BangladeshFloods",1
20055,"Massive flooding hits Tokyo, leaving streets submerged and homes destroyed. Rescue efforts underway as residents seek shelter. #TokyoFloods",1
20056,"Breaking: Wildfires raging in California have forced thousands to evacuate. The flames are relentless as firefighters battle to contain the blaze. #CaliforniaWildfires",1
20066,"Flames engulfing buildings in Australia as bushfires rage out of control, leaving devastation in their wake #AustraliaBushfires",1
20073,"Tragic scene in Tokyo as earthquake strikes, causing widespread destruction and leaving many injured. Stay safe and follow emergency instructions. #TokyoEarthquake",1
20074,"Tragic news from Japan as earthquake strikes, leaving buildings destroyed and countless lives lost. Praying for the safety and recovery of all affected. #JapanEarthquake",1
20077,"Breaking: Massive earthquake strikes Tokyo, leaving widespread destruction and thousands in need of urgent assistance. #PrayForTokyo",1
20079,"In #Earthquake aftermath in #Haiti, survivors desperate for aid as homes lie in ruins & hope fades. Devastation beyond words. #PrayForHaiti 🙏🇭🇹",1
20080,"MASSIVE FLOODING: I-85 CLOSED. PIEDMONT ROAD. ATLANTA. SEEK ALTERNATE ROUTE. #AtlantaFloods #BreakingNews",1
20083,"Devastation in the East: Massive flooding wreaks havoc in #Bangladesh, displacing thousands #disaster #climatechange #floods",1
20091,"Just witnessed the aftermath of a powerful earthquake in Japan - devastation everywhere. The ground shook relentlessly, leaving everyone in shock. #JapanQuake",1
20093,"Massive earthquake strikes Tokyo, leaving buildings in ruins and residents in shock. Rescue efforts underway. Stay safe, everyone. #TokyoEarthquake",1
20097,"Tragic earthquake in Tokyo, powerful 7.0 magnitude shakes the city. Prayers for all affected. #TokyoEarthquake.",1
20098,"Major flooding reported in #Miami on Ocean Drive after severe storm hits the area. Emergency crews on scene assisting residents. Stay safe! #MiamiBeach #Flooded",1
