id,text,target,questionable_label
331,@stormbeard @steel_lord I seen Judas Priest in 2005 when Rob came back; Scorpions as support. Fucking annihilated the place. Astonishing gig,0,2
389,THANKS!!!!! @COUNT DANTE.  :)  DO JOIN US BY FOLLOWING THE @ANNIHILATION ZONE.  JOHNNY.,0,2
851,RT alisonannyoung: EXCLUSIVE: FedEx no longer to transport research specimens of bioterror pathogens in wake of anthrax lab mishaps Û_,0,2
1436,@MeekMill is w(rec)k league ball @Drake is Olympic level body bagging him like his career was nothing #trollingtilMeekdiss,0,2
1838,Sure - take them away from fire fighting for King Stevie &amp; Crusty to have a photo-op ! http://t.co/epeX4axG4b,0,2
4262,#ICYMI #Annoucement from Al Jackson... http://t.co/7BevuJE5eP,0,2
5184,The X-rays in MKX be looking like fatalities.,0,2
5575,@CreationMin @rwrabbit @GoonerAtheist @atheistic_1 @LOLatJesus Yet still why did so many fish die in the worldwide flood? I wonder.,0,2
5578,@AtLarnxx but he DIDNT,0,2
5808,Seen on Fahlo:#WCW All Hail the QueenåÊ?? http://t.co/oLpBmy9xw9 #MTVHottest Justin Bieber http://t.co/ON18cqGcoA,0,2
6004,@HearItFromPa Also pls help us w/ our campaign to warn the public about the hazardous keratin treatments. The Brazilian Blowout COPYCATS.,0,2
6387,everyone's wonder who will win and I'm over here wondering are those grapes real ?????? #BB17,0,2
6490,@TayIorrMade @MegatronAFC possibly he's had injuries on both ankles though. 2011 one worse but regardless both.,0,2
7428,Uribe just obliterated a baseball.,0,2
8236,Southeast Dirt Riot Series Crowns Champions:  Southeast Dirt Riot Series Crowns ChampionsBLACKFOOT ID: The So... http://t.co/v9i4PfXO0C,0,2
8478,I have never screamed so loud https://t.co/PC3h1NE4G0,0,2
8860,I wanna drink a little  smoke a little,0,2
9432,Survivors of Shanghai Ghetto reunite after 70 years - http://t.co/1Ki8LgVAy4 #Shanghai #China #??,0,2
9520,You May Know Me from Such Roles as Terrorist #4 http://t.co/xImPncZXtH,0,2
9815,@RaabChar_28 @DrPhil @MorganLawGrp How do you self-inflict a wound to your side and blunt force trauma not consistent with fall dimensions?!,0,2
