id,text,target,questionable_label
580,Mourning notices for stabbing arson victims stir Û÷politics of griefÛª in Israel http://t.co/Q4L7Dg56JM,1,2
1938,forestservice : RT dhsscitech: #Firefighters run into burning buildingsÛÓwe work on #tech tÛ_ http://t.co/KybQcSvrZa) http://t.co/Ih49kyMsMp,1,2
1966,Dudes will thoroughly express how stupid black ppl r for burning buildings in response to brutality but nvr mention them being mistreated.,1,2
2012,Another movie theater attack..close to home this time. Thankful for no casualties. Life will go on because we cannot allow evil to win!,1,2
2221,Emergency crews respond to chemical spill downtown beaumont #benews http://t.co/PME0HOJVYA,1,2
2463,I scored 111020 points in PUNCH QUEST stopped when a squeaky bat collided into my skull. http://t.co/aEtgbxm1pL,1,2
4184,We are getting some reports of flooding near Jonesboro High School. Please use caution when driving in the area. Turn around don't drown!,1,2
4330,I learned more about economics from one South Dakota dust storm than I did in all my years in college.  -Hubert Humphrey,1,2
4392,#earthquake (EMSC): MD 2.9 OFF COAST OF NORTHERN CALIFORNIA http://t.co/6AiMd1uway G http://t.co/9cgbJwmhII,1,2
5458,As firefighters make gains on #RockyFire Jerry Brown is heading to the area to meet with first responders tomorrow morning,1,2
5604,Flood Prone Waterways In Westchester County Now Eligible For Millions In State Aid #NewYork - http://t.co/XSR2VUJyIz,1,2
6072,Longest Streak of Triple-Digit Heat Since 2013 Forecast in Dallas: An unrelenting and dangerous heat wave will... http://t.co/s4Srgrmqcz,1,2
7937,Landslide in Italian Alps kills three: ROME (Reuters) - Three people were killed when a severe rainstorm in th... http://t.co/SmKZnF52Za,1,2
7991,George Njenga the hero saved his burning friend from a razing wildfire http://t.co/Ywkk26arAG,1,2
9452,NC Senate follows House on legal action on terrorism damages - Winston http://t.co/2Y5MoRpugt,1,2
9695,Weak but distinct rotation fully condenses near Villa Ridge MO today near MCV center.  A 'sub-tornado?' Video: https://t.co/Fd9DzspuGk,1,2
9709,shit is hard to get over but sometimes the tragedy means it's over soulja..,1,2
9734,DTN India: Rly tragedy in MP: Some live to recount horror: ÛÏWhen I saw coaches of my train plunging into water... http://t.co/WK63tm34a0,1,2
10195,Storm blitzes Traverse City disrupts Management Briefing Seminars: A violent summer storm blitzed through Tra... http://t.co/NKAW9EZqGg,1,2
10627,[#Latestnews] Police officer wounded suspect dead after exchanging shots: RICHMOND Va. (AP) ÛÓ A Richmond pol... http://t.co/ia1HnGnHVB,1,2
