id,text,target,questionable_label
463,RT @RTRRTcoach: #Love #TrueLove #romance lith  #Voodoo #seduction #Astrology #RTRRT #LOTZ 9-11 #apocalypse #Armageddon #1008planetÛ_,0,2
495,Well done Celtic Fingers crossed for Aberdeen tomorrow night! Armageddon eh.... ??,0,2
619,#Spotlight Take Me To Paradise by Arsonist MC #WNIAGospel http://t.co/1he4UfaWZm @arsonistmusic http://t.co/BNhtxAEZMM,0,2
1826,@HGF52611 Uh huh. You only have to be burned once to know fire hurts. Robbie Ross should throw home run derby in the All Star Game #RedSox,0,2
2376,I just collapsed in my bed ugh I'm exhausted,0,2
2599,Crash helmet silvery floors karnal fat shoot sampling 33: PBCaNPCx,0,2
4131,@KarinaGarciaxo_ me &amp; you both &amp; I'll be dam if I get any of that drought bud,0,2
4248,forever drowning in my feelings.,0,2
5452,First Responders get int @bridgeportspeed free on Saturday! Details @ http://t.co/dIh1TgQhej,0,2
5460,'NO LENDER FEES FOR VETERANS OR FIRST RESPONDERS (PAST AND PRESENT)' on @LinkedIn https://t.co/9pmBTxmoAL,0,2
5707,&gt;As soon as maintenance ends everyone floods the servers &gt;Servers destroyed by extreme load &gt;Maintenance starts anew,0,2
7358,According to prophecy and also CNN a Mac tablet will completely obliterate the need for other gadgets. CombiningÛ_ http://t.co/xfccvMXuWb,0,2
7609,Pandemonium In Aba As Woman Delivers Baby Without Face (Photos) http://t.co/wRqF6U55hh,0,2
8700,@abandonedpics You should delete this one it's not an abbandoned nor sinking. ThatÛªs the darsena of the Castello scaligero di Sirmione.,0,2
8829,@iK4LEN Sirens was cancelled.,0,2
9319,In a dream you saw a way to survive and you were full of joy.,0,2
9874,@MPRnews 600!!! WOW!!! that's a lot of traumatised kids!!!!!,0,2
10276,Greedy had me in the war zone ! Lmao,0,2
10301,@RosemaryTravale Do we all use the same weapon? 'cause we might be screwed XD,0,2
10303,@muttatek m believe my 'blue' not isis kwwwkwwwk Without weapon 'blue' will hug me jiahahahha Yeyeulala....,0,2
